ENSEMBL,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000163681.14,SLMAP,942.5960592,-0.009794801,0.255067351,-0.038400841,0.969368091,0.983844067
ENSG00000184110.14,EIF3C,4231.7687,0.009836093,0.343208115,0.028659267,0.977136343,0.98762305
ENSG00000067533.5,RRP15,351.7833571,-0.009890006,0.290713215,-0.034019801,0.972861361,0.985568732
ENSG00000234329.1,RP11-767N6.2,7.410990298,-0.009896344,0.671848845,-0.014730016,0.988247573,0.993665451
ENSG00000273262.1,RP11-18I14.11,2.516184546,0.009922908,1.328989214,0.007466508,0.994042644,0.996726283
ENSG00000279207.1,RP11-159D12.8,212.9830078,-0.010043771,0.381514704,-0.026326039,0.978997286,0.988852982
ENSG00000110888.17,CAPRIN2,1095.879958,-0.010074474,0.243714136,-0.041337256,0.967027032,0.982543265
ENSG00000196636.7,SDHAF3,320.4421093,0.010115325,0.401470873,0.025195665,0.979898895,0.989353467
ENSG00000197312.11,DDI2,925.901932,-0.010119449,0.209652921,-0.048267628,0.961502953,0.979745465
ENSG00000248015.6,AC005329.7,69.48720207,-0.010125049,0.477340293,-0.021211386,0.983077032,0.99078745
ENSG00000131375.9,CAPN7,754.1150081,-0.010163416,0.244900532,-0.041500179,0.96689715,0.982508491
ENSG00000230650.1,AC112229.1,68.59732084,0.010276363,0.719525383,0.014282141,0.988604888,0.993843578
ENSG00000008083.13,JARID2,285.3687885,0.010286352,0.385023536,0.026716165,0.97868612,0.988693803
ENSG00000104129.9,DNAJC17,281.6333513,-0.01033287,0.245803414,-0.042037129,0.9664691,0.982391889
ENSG00000175048.16,ZDHHC14,517.7763728,-0.010408973,0.369883596,-0.028141213,0.977549524,0.987902289
ENSG00000166436.15,TRIM66,584.0552968,-0.010471717,0.322061007,-0.0325147,0.974061593,0.986148882
ENSG00000188459.4,WASF4P,2.631519035,0.010547724,1.196480842,0.008815623,0.992966242,0.996179212
