"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Cl19_gHira_1_S10","Cl19_gHira_2_S11","Cl19_gHira_3_S12"
"ENSMUSG00000008540","Mgst1",2.5908429793487,3.08164935776263,252.636563633254,6.91284536061083e-57,2.45037325215785e-54,1.55091089090693,1.16750275754172,1.24385825013317,3.635717344041,3.86111204293213,3.99278059349113
"ENSMUSG00000016552","Foxred2",-2.45105932244435,2.8071261339379,243.268827294648,7.62034991490638e-55,2.61402583855208e-52,3.73807183077003,3.59896069200943,3.59564253820198,0.471024196423142,1.00741872928884,0.683231077573
"ENSMUSG00000046318","Ccbe1",-1.34283475373555,6.26743198803954,238.140237812168,1.00051392481471e-53,3.32483283639987e-51,6.7764691675655,6.76931428996835,6.85458462706812,5.49279000850861,5.33723739807578,5.42016660997838
"ENSMUSG00000040405","Havcr1",-1.26429596760124,5.5609544734843,237.880209674057,1.14004714796593e-53,3.67371556711204e-51,6.09038422642701,6.04993717166795,6.10207195430212,4.73360461407117,4.76800016958745,4.74487349467007
"ENSMUSG00000031538","Plat",-1.38267434481728,8.57649713883846,235.640126786383,3.51065508786245e-53,1.09800900600968e-50,8.84922209387505,9.11964316166677,9.17817874093168,7.81842044913928,7.87240252739596,7.87314090226349
"ENSMUSG00000018569","Cldn7",-1.77001740193338,4.60716486818105,235.557280405984,3.65976963478317e-53,1.11194257989383e-50,5.25468384444448,5.17472367022125,5.30066231111877,3.47814245309631,3.52939307433775,3.3750769201647
"ENSMUSG00000038508","Gdf15",-1.37713087853659,9.22564535741061,229.948187290705,6.11845933856269e-52,1.80732490572988e-49,9.72097980587363,9.74827169658389,9.67061740265716,8.36709783912636,8.54195958290399,8.53477022864456
"ENSMUSG00000055435","Maf",1.23038269514276,6.11862239199545,229.400823041614,8.05404056390148e-52,2.31477479341969e-49,5.4031829119765,5.36939573474223,5.3515838566953,6.61650958007123,6.5426459743701,6.65174256697547
"ENSMUSG00000025743","Sdc3",1.65090713830637,4.57500162354838,227.600143427266,1.98940397982657e-51,5.56718997933572e-49,3.59244507033947,3.57283904357738,3.653826765148,5.09631723609207,5.18874365218576,5.14190267446969
"ENSMUSG00000024043","Arhgap28",1.36755959826871,5.11885732320229,227.139253967981,2.50749592395435e-51,6.83710555264886e-49,4.29892703779435,4.32729195716299,4.34192697283014,5.59479724914813,5.68796672125455,5.58879075737372
"ENSMUSG00000022231","Sema5a",-1.81316318101303,3.93462712571222,225.942866953454,4.57266354296592e-51,1.21564260289749e-48,4.60380768592895,4.56316738771727,4.72678153064423,2.48743979943336,2.52870763295424,2.71385356760981
"ENSMUSG00000026211","Obsl1",-2.00709649716813,3.88911644226246,224.004296994564,1.2105402426204e-50,3.13972803415253e-48,4.64037287620389,4.64568013591785,4.5112823646423,2.63109182361018,2.22808501042617,2.5394161798676
"ENSMUSG00000031217","Efnb1",2.21834638540583,4.5073515852313,220.784409466676,6.09937363607493e-50,1.54430331538145e-47,2.84810866963711,3.26227561451957,3.16203847130423,5.11273063415688,5.28224990652717,5.19862018118471
"ENSMUSG00000031502","Col4a1",-1.7099889909437,4.51373887150191,220.41909587887,7.32771349101669e-50,1.81216058752259e-47,4.99714886495653,5.24588551932206,5.22296192112266,3.29301528920169,3.33803340040285,3.42347021748662
"ENSMUSG00000049313","Sorl1",-1.68192089226203,4.37503386355225,219.66149056626,1.07206565435937e-49,2.59098776555854e-47,4.87326196905072,5.04771682524764,5.09472480594498,3.13669708353771,3.27009162562313,3.35857824131024
"ENSMUSG00000067889","Sptbn2",-1.22967408518599,5.82421710380722,219.460371666034,1.18601705184783e-49,2.80269007318885e-47,6.35524986456143,6.26423738362947,6.39035301094888,4.98227158528874,5.04198854424698,5.05582830509075
"ENSMUSG00000022206","Npr3",-1.22887384816335,5.82602949194212,217.328934175258,3.45960889776401e-49,7.99771326496141e-47,6.25704473168166,6.29172340423573,6.45974270479895,4.99750372786395,5.0688971653833,5.02653686913508
"ENSMUSG00000036687","Tmem184a",-1.77799147950319,3.73891213995156,210.083937745605,1.31690057083868e-47,2.97955758942522e-45,4.45832858159517,4.40337592513215,4.34192697283014,2.46569861731242,2.57637017225592,2.51976492090202
"ENSMUSG00000035818","Plekhs1",-1.80223113555458,5.16679962967196,205.145096203495,1.57443974349896e-46,3.48804004840998e-44,6.12202968185949,5.63099864512137,5.59490297312704,3.92842014549001,4.09508159283609,3.99633988706956
"ENSMUSG00000025885","Myo5b",-2.03242170645295,3.03660699552036,204.348337666165,2.34950794502357e-46,5.09891173211849e-44,3.68378703015983,3.84143612944798,3.78378046468163,1.58865262623757,1.57504291412883,1.537776249093
"ENSMUSG00000031137","Fgf13",-1.99495199013352,3.58099193263505,203.38826666939,3.80597997087525e-46,8.09455820205749e-44,4.19925259699635,4.43562236442534,4.33373575415518,1.98487021240522,2.07722015372166,2.08424315196652
