"TF","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3","Mean_ Cl19","Mean_ Fl","Mean_TFChange","p.val","p.adj"
"Ar",-1.53461725702143,2.7077729071661,2.81613198382018,-1.79430796014741,-1.22799740604319,-0.154405293853517,1.32976254465495,-1.05890355334804,2.38866609800299,0.231971089701884,0.353900395826903
"Arntl",2.17098012833183,0.930494624115864,1.88722268152758,-1.64501801994733,-0.765227063640317,-2.62437522204297,1.66289914465842,-1.67820676854354,3.34110591320196,0.00936668532913762,0.107820638378861
"Atf1",0.528411557682143,0.0787443388252528,2.13869253793736,-1.10652780248291,-0.830497666291496,-0.372220557087768,0.915282811481585,-0.76974867528739,1.68503148676898,0.102197398477176,0.22083832920678
"Atf2",-0.511647001675513,1.78036585654801,1.27278736505804,-0.79847424431115,-0.751902730940509,-0.548535488931446,0.847168739976847,-0.699637488061035,1.54680622803788,0.154438177913529,0.281983124951591
"Atf4",1.13744106172645,1.75654583288626,1.49954036951221,-2.25354151166431,-1.89739580070073,-1.48470281249131,1.46450908804164,-1.87854670828545,3.34305579632709,0.000386743975185643,0.0301219553316089
"Atf6",-3.25005120822639,0.255494200405673,0.329840212188089,1.60072620889405,0.406309201126836,1.27955970102559,-0.888238931877542,1.09553170368216,-1.9837706355597,0.22994459041016,0.353900395826903
"Cdx2",-0.156756780002568,0.419435951968803,0.436542098304727,0.0266789628868459,-0.475259731511842,-0.350706553246702,0.233073756756987,-0.266429107290566,0.499502864047554,0.117138360183935,0.22083832920678
"Cebpa",-1.06328163321442,0.364553276646878,2.37228798412006,-1.09487108339439,-0.920687609192093,0.328106841950785,0.557853209184172,-0.5624839502119,1.12033715939607,0.386059457697768,0.520107880509493
"Cebpb",-0.53214198790664,0.147799891677516,0.635774365354417,0.474641849624208,0.412613360402225,-0.535649738722157,0.0838107563750975,0.117201823768092,-0.0333910673929943,0.946856395206074,0.956719482656137
"Creb1",-0.754710345741639,0.277271833355376,1.19807457402322,-0.558131604334524,0.811395734068204,-0.195352065358624,0.240212020545654,0.0193040214583519,0.220907999087302,0.768604690917336,0.866914593243972
"Ctcf",0.27437777900945,1.14468376209557,2.31577310108892,-1.54988884271049,-1.57620681489333,-1.00600410751511,1.24494488073132,-1.37736658837298,2.62231146910429,0.0373970635550237,0.176883788530992
"E2f1",-3.05923109699136,0.380545739652081,0.31967449254024,0.429253664472509,0.977598301602988,2.23412769234021,-0.786336954933012,1.21365988613857,-1.99999684107158,0.214465255660718,0.341034914739174
"E2f2",-2.76297424724651,0.0337223043023308,-0.828875771656254,1.52690713069426,0.536264853400495,2.86314951147169,-1.18604257153348,1.64210716518882,-2.82814973672229,0.0593211089235074,0.186141691414841
"E2f3",-2.2048746747336,1.61066396241528,0.7083564166474,-0.623142897522379,-1.05434901782101,1.37080552801584,0.0380485681096951,-0.102228795775847,0.140277363885542,0.924276203946656,0.943734650345533
"E2f4",-5.21489727373585,0.0349638831000486,-1.79653692803895,2.37424084048186,2.01940082042638,3.96514047610908,-2.32549010622492,2.78626071233911,-5.11175081856402,0.0648217344150346,0.188182572914636
"Egr1",-1.68046954955284,1.23633525829019,2.20252504209731,-0.0887220234185652,-1.47270013993967,0.561926967241581,0.586130250278219,-0.333165065372219,0.919295315650438,0.534224327255131,0.654302259757346
"Elk1",0.686476132363524,0.734954048164589,0.668565795864844,-0.925004378585618,-1.21580168211299,-0.188626183259046,0.696665325464319,-0.776477414652551,1.47314274011687,0.0399560549551313,0.176883788530992
"Epas1",-0.310648091821361,0.00166680936221606,0.229499288666413,0.395970457308677,-0.366867072303981,0.173773255078245,-0.0264939979309106,0.0676255466943136,-0.0941195446252242,0.751724150903603,0.857849913384111
"Erg",0.372780560638091,1.43821415257578,1.18819743922246,-1.4338825253405,-1.38491810951759,-0.873619068738963,0.999730717478777,-1.23080656786568,2.23053728534446,0.00796598774439639,0.107820638378861
"Esr1",-1.53119618953007,0.914800699072239,2.39019205697621,-0.680435057101944,0.19233853159084,-0.282490606137951,0.591265522172794,-0.256862377216352,0.848127899389146,0.538297194788171,0.654302259757346
"Esr2",0.768816493154318,1.95004223536725,1.82082575657965,-2.09095166240445,-1.49605885454116,-1.52952886945432,1.51322816170041,-1.70551312879998,3.21874129050038,0.00467637474873291,0.0907216701254185
"Ets1",-2.30820419364534,1.39502439198737,0.68176270586552,0.699328402598485,-0.108326178289959,0.790879396013953,-0.0771390319308179,0.460627206774159,-0.537766238704977,0.686329663345224,0.802096112584178
"Ets2",-0.835223772683543,-0.406159658937632,-0.0229049544153748,0.31795060232922,-0.474719300481665,1.23133471773723,-0.421429462012183,0.358188673194927,-0.77961813520711,0.252692228307798,0.371381002209945
"Etv4",-1.70247330881061,0.425038919419488,0.502284240273968,0.810267768730407,-0.0300825815676338,0.469980876663347,-0.25838338303905,0.416722021275373,-0.675105404314424,0.454153089407555,0.579642758849116
"Fli1",-0.356249490937561,0.447061789693564,0.309026087934773,-0.0228002224892965,-0.478936465810512,-0.746968110046742,0.133279462230259,-0.416234932782184,0.549514395012442,0.168790417462712,0.287239833226018
"Fos",-1.15475657442513,-0.349296485820811,-0.297173105865623,1.05036571776858,0.594628081269395,-0.135520319653081,-0.60040872203719,0.503157826461632,-1.10356654849882,0.0703337751317268,0.188182572914636
"Fosl1",0.653516806455575,1.1170203633164,0.881442796784716,-1.06656142051323,-1.17472691236777,-1.33521081877367,0.883993322185565,-1.19216638388489,2.07615970607046,0.000621071243950698,0.0301219553316089
