"TF","Fl_1_S1","Fl_2_S2","Fl_3_S3","Fl_gHira_1_S7","Fl_gHira_2_S8","Fl_gHira_3_S9","Mean_ gHIRA","Mean_ Fl","Mean_TFChange","p.val","p.adj"
"Ar",-0.862399588456702,-1.57862255331175,0.497926143956763,0.179670077584531,0.25503669706211,0.272235464161513,0.235647412936051,-0.647698665937229,0.88334607887328,0.283860141469548,0.456074152013399
"Arntl",0.995611600317092,1.88202040919835,-0.18286405059117,-0.390773353981839,-1.0499031116666,-2.16946910424548,-1.20338185663131,0.898255986308092,-2.1016378429394,0.0579258633111135,0.193752025557862
"Atf1",-0.255544812959167,0.337915404901749,0.625998366707168,-0.242578287147124,-1.59194564135038,-0.683628727343725,-0.839384218613744,0.236122986216583,-1.07550720483033,0.0968170320630106,0.245051642452095
"Atf2",1.27733898124673,0.492263127746651,1.82298375980327,-0.599164232712228,-0.0897729621285526,-2.22524653517827,-0.971394576673017,1.19752862293222,-2.16892319960523,0.0567889340535256,0.193752025557862
"Atf4",-2.47836606094871,-1.74776852237044,-0.647255049258149,1.46706983330721,2.48912901140788,0.975127142512995,1.64377532907603,-1.6244632108591,3.26823853993512,0.00996097024007566,0.0773770922886615
"Atf6",-0.313250343257888,-3.08026417272479,-1.38289054826555,1.23808187930889,1.32636970817243,2.09021791626265,1.55155650124799,-1.59213502141608,3.14369152266407,0.0480745776041353,0.190915477790988
"Cdx2",1.21360892878972,0.328197051141338,0.597613875731919,-1.44050340849111,-0.109311437633383,-0.525513067227076,-0.691775971117189,0.713139951887659,-1.40491592300485,0.0488003601988044,0.190915477790988
"Cebpa",0.209674690040097,-0.441232080011906,2.17860412884071,-0.523056088016773,-1.65665665703143,-0.368868513272822,-0.849527086107008,0.649015579622968,-1.49854266572998,0.189574142765907,0.346956449967792
"Cebpb",0.906878813548737,0.528000223200726,0.558268641627219,-0.973061594913615,-0.462217540252614,-0.833236481301508,-0.756171872155913,0.664382559458894,-1.42055443161481,0.00226779755322939,0.0512401384658722
"Creb1",-0.312642095398657,0.0681986790510358,0.688052260222849,-0.220011529142154,-0.215770986522587,-0.286316505446338,-0.240699673703693,0.147869614625076,-0.388569288328769,0.313989129770861,0.48344358075831
"Ctcf",-2.57577390970786,-2.07429412283602,-2.49504111223695,3.3328711613639,2.643819595573,1.49839281922897,2.49169452538862,-2.38170304826027,4.8733975736489,0.00778468337840504,0.0773770922886615
"E2f1",-1.6089352077943,-0.92473450388602,0.263985583720008,0.291371649313448,1.23704542542411,0.598216526620423,0.708877867119327,-0.756561375986772,1.4654392431061,0.097856765311894,0.245051642452095
"E2f2",0.534970036678317,-1.21444929401816,1.32439064558603,-1.27635121640236,1.48856906651066,-0.472752492151936,-0.0868448806812111,0.214970462748728,-0.301815343429939,0.799645038809282,0.90450806680769
"E2f3",-1.58046841353661,-2.53659011558262,0.328250974428746,0.37485978530918,2.31200292444307,0.633294145592656,1.10671895178164,-1.2629358515635,2.36965480334513,0.0911889693400606,0.245051642452095
"E2f4",-1.24636282240205,-2.1677875237568,0.839813531810482,-0.138399463198268,1.73010967671897,1.5645904414853,1.05210021833533,-0.858112271449459,1.91021248978479,0.159405264491379,0.309246213113274
"Egr1",-0.0778278329621963,-1.67246886216656,1.30441138718831,1.47379850210795,0.0232442561942114,-0.982629374923411,0.171471127792917,-0.148628435980149,0.320099563773066,0.789166448647788,0.90450806680769
"Elk1",0.103882952592637,-1.28986590101818,0.388023798694685,1.78995218937115,-0.178192500545056,-1.21984610224642,0.130637862193226,-0.26598638324362,0.396624245436846,0.722488158536003,0.864319221412187
"Epas1",-0.688973853929353,-1.27807156895861,0.0426559905809595,1.08090256096552,0.446816257126702,-0.147014747897456,0.460234690064921,-0.641463144102336,1.10169783416726,0.102424986490008,0.245051642452095
"Erg",-1.17346242504688,-1.21508626519009,-1.07409310086911,1.1632379814623,1.45983063149403,0.840080052171367,1.1543828883759,-1.15421393036869,2.30859681874459,0.00419183626375388,0.0677680195973543
